cell_id,ev_Antes,ev_Despues,pa_Antes,pa_Despues,tasa_antes,tasa_despues,delta_tasa,esperado,exceso
10_27,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_28,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_29,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_3,0,0,77,44,0.0,0.0,0.0,0.0,0.0
10_30,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_31,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_32,0,0,150,137,0.0,0.0,0.0,0.0,0.0
10_33,0,0,223,169,0.0,0.0,0.0,0.0,0.0
10_34,0,0,221,164,0.0,0.0,0.0,0.0,0.0
10_35,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_36,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_37,0,0,149,137,0.0,0.0,0.0,0.0,0.0
10_38,0,0,149,175,0.0,0.0,0.0,0.0,0.0
10_39,0,0,149,136,0.0,0.0,0.0,0.0,0.0
10_4,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_40,0,0,149,136,0.0,0.0,0.0,0.0,0.0
10_41,0,0,149,136,0.0,0.0,0.0,0.0,0.0
10_42,0,0,149,171,0.0,0.0,0.0,0.0,0.0
10_43,0,0,224,171,0.0,0.0,0.0,0.0,0.0
10_44,0,0,149,140,0.0,0.0,0.0,0.0,0.0
10_45,0,0,149,176,0.0,0.0,0.0,0.0,0.0
10_46,0,0,150,176,0.0,0.0,0.0,0.0,0.0
10_47,0,0,221,204,0.0,0.0,0.0,0.0,0.0
10_48,0,0,221,204,0.0,0.0,0.0,0.0,0.0
10_49,0,0,221,204,0.0,0.0,0.0,0.0,0.0
10_5,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_50,0,0,223,204,0.0,0.0,0.0,0.0,0.0
10_51,0,0,294,236,0.0,0.0,0.0,0.0,0.0
10_52,0,0,221,204,0.0,0.0,0.0,0.0,0.0
10_53,1,1,221,204,0.004524886877828055,0.004901960784313725,0.0003770739064856707,0.9230769230769231,0.07692307692307687
10_54,0,0,221,204,0.0,0.0,0.0,0.0,0.0
10_55,1,1,221,243,0.004524886877828055,0.00411522633744856,-0.0004096605403794947,1.0995475113122173,-0.09954751131221728
10_56,0,0,221,239,0.0,0.0,0.0,0.0,0.0
10_57,2,0,221,205,0.00904977375565611,0.0,-0.00904977375565611,1.8552036199095023,-1.8552036199095023
10_58,3,3,221,205,0.013574660633484163,0.014634146341463415,0.0010594857079792522,2.7828054298642533,0.21719457013574672
10_59,6,6,221,277,0.027149321266968326,0.021660649819494584,-0.005488671447473743,7.520361990950226,-1.5203619909502262
