clase,n,pct
Infrastructure,225,28.957528957528954
Anthropogenic,128,16.473616473616474
"Vessel, old",122,15.701415701415703
Natural,121,15.572715572715573
Ambiguous,105,13.513513513513514
"Vessel, coincident",57,7.335907335907336
"Vessel, recent",18,2.3166023166023164
Vessel,1,0.1287001287001287
