Variable,Unidad,MedianaTop,MedianaResto,Ratio,p
Trafico AIS previo,horas-buque/mes,229.23333333333335,0.03333333333333333,6877.000000000001,2.925214534063929e-203
Distancia a costa,km,34.433472287323966,61.91076292581981,0.5561790981090224,1.249906778304737e-44
Profundidad,m,32.0,25.0,1.28,5.1557890192167446e-08
Tasa previa,det/pasada,0.0135135135135135,0.0,,2.7964119460287527e-221
