slick_id,s1_timestamp,s2_image_id,s2_timestamp,desfase_horas,nubes_pct,machine_confidence,area_km2,lon,lat,slick_url,n_candidatas_s2
3007264,2024-09-11 02:23:36+00:00,COPERNICUS/S2_SR_HARMONIZED/20240912T065619_20240912T070700_T39RZJ,2024-09-12 07:12:27.058000+00:00,28.81,0.01,0.9975,75.25,54.19107646659423,26.214101195240097,https://cerulean.skytruth.org/slicks/3007264?ref=api&slick_id=3007264,3
4304016,2025-08-07 02:22:16+00:00,COPERNICUS/S2_SR_HARMONIZED/20250808T065619_20250808T070704_T39RXK,2025-08-08 07:12:19.643000+00:00,28.83,0.0,0.9993,11.98,52.67106418273551,26.32622669495081,https://cerulean.skytruth.org/slicks/4304016?ref=api&slick_id=4304016,3
4570871,2025-12-05 02:22:17+00:00,COPERNICUS/S2_SR_HARMONIZED/20251206T070159_20251206T071201_T40RBQ,2025-12-06 07:12:10.705000+00:00,28.83,0.62,0.9958,34.83,54.074369384992565,26.363812872578908,https://cerulean.skytruth.org/slicks/4570871?ref=api&slick_id=4570871,2
5114805,2026-07-28 02:22:18+00:00,COPERNICUS/S2_SR_HARMONIZED/20260729T065621_20260729T070744_T39RXK,2026-07-29 07:12:19.461000+00:00,28.83,0.0,0.9965,31.05,53.09972152003032,26.39574170170816,https://cerulean.skytruth.org/slicks/5114805?ref=api&slick_id=5114805,2
5114804,2026-07-28 02:22:18+00:00,COPERNICUS/S2_SR_HARMONIZED/20260729T065621_20260729T070744_T39RXK,2026-07-29 07:12:19.461000+00:00,28.83,0.0,0.9994,11.51,53.0223724069916,26.73065998562594,https://cerulean.skytruth.org/slicks/5114804?ref=api&slick_id=5114804,2
3061394,2024-01-08 02:31:55+00:00,COPERNICUS/S2_SR_HARMONIZED/20240109T071259_20240109T071254_T39RXK,2024-01-09 07:22:12.031000+00:00,28.84,0.0,0.9985,27.09,52.52632699380034,26.938436476096957,https://cerulean.skytruth.org/slicks/3061394?ref=api&slick_id=3061394,1
5042906,2026-06-26 02:31:08+00:00,COPERNICUS/S2_SR_HARMONIZED/20260627T070619_20260627T071859_T39RVM,2026-06-27 07:21:49.224000+00:00,28.84,0.01,0.9978,44.91,50.625894524766416,28.11666067216405,https://cerulean.skytruth.org/slicks/5042906?ref=api&slick_id=5042906,1
3613012,2023-09-03 02:39:34+00:00,COPERNICUS/S2_SR_HARMONIZED/20230904T071619_20230904T072624_T39RTM,2023-09-04 07:31:58.983000+00:00,28.87,0.02,0.9979,29.62,48.70142904679401,28.45729834498739,https://cerulean.skytruth.org/slicks/3613012?ref=api&slick_id=3613012,1
4465874,2025-10-22 02:39:21+00:00,COPERNICUS/S2_SR_HARMONIZED/20251023T071849_20251023T072359_T39RVM,2025-10-23 07:31:46.795000+00:00,28.87,0.0,0.9997,9.68,50.24113140766822,28.525620883037547,https://cerulean.skytruth.org/slicks/4465874?ref=api&slick_id=4465874,1
4465866,2025-10-22 02:39:21+00:00,COPERNICUS/S2_SR_HARMONIZED/20251023T071849_20251023T072359_T39RVM,2025-10-23 07:31:46.795000+00:00,28.87,0.0,0.9994,10.88,50.06174173785625,28.74424238877402,https://cerulean.skytruth.org/slicks/4465866?ref=api&slick_id=4465866,2
3639593,2023-05-06 02:39:27+00:00,COPERNICUS/S2_SR_HARMONIZED/20230507T071619_20230507T072136_T39RVM,2023-05-07 07:31:49.438000+00:00,28.87,5.15,0.9995,16.77,50.564894812084326,28.088845392049567,https://cerulean.skytruth.org/slicks/3639593?ref=api&slick_id=3639593,2
5016302,2026-06-14 02:38:12+00:00,COPERNICUS/S2_SR_HARMONIZED/20260615T071621_20260615T072913_T39RTN,2026-06-15 07:31:39.713000+00:00,28.89,0.07,0.9991,51.29,49.04393850100768,29.420685317771813,https://cerulean.skytruth.org/slicks/5016302?ref=api&slick_id=5016302,2
5016308,2026-06-14 02:38:12+00:00,COPERNICUS/S2_SR_HARMONIZED/20260615T071621_20260615T072913_T39RUN,2026-06-15 07:31:36.193000+00:00,28.89,0.85,0.9997,8.95,49.64777375365458,29.06706740910017,https://cerulean.skytruth.org/slicks/5016308?ref=api&slick_id=5016308,1
5016250,2026-06-14 02:38:41+00:00,COPERNICUS/S2_SR_HARMONIZED/20260615T071621_20260615T072913_T39RUM,2026-06-15 07:31:50.518000+00:00,28.89,7.89,0.9981,15.34,49.494859371561816,28.46533392264096,https://cerulean.skytruth.org/slicks/5016250?ref=api&slick_id=5016250,1
5016312,2026-06-14 02:38:12+00:00,COPERNICUS/S2_SR_HARMONIZED/20260615T071621_20260615T072913_T39RUN,2026-06-15 07:31:36.193000+00:00,28.89,0.85,0.9979,9.19,49.59684062241183,28.789269324475768,https://cerulean.skytruth.org/slicks/5016312?ref=api&slick_id=5016312,2
5016326,2026-06-14 02:38:12+00:00,COPERNICUS/S2_SR_HARMONIZED/20260615T071621_20260615T072913_T39RUN,2026-06-15 07:31:36.193000+00:00,28.89,0.85,0.999,18.66,49.69251744394176,28.94815956671539,https://cerulean.skytruth.org/slicks/5016326?ref=api&slick_id=5016326,2
