variable,importancia
log_ais_hours,0.37075978645315705
dist_costa_km,0.18754672425046587
wind_speed,0.10845354512548183
lag1_n_events,0.08932397948789796
n_pases,0.07795995670728187
lag1_has_event,0.07386766760672374
mes_cos,0.03957208401569072
anios_desde_2023,0.034306110665489685
mes_sin,0.01821014568781138
