franja,celdas,detecciones,pasadas,pct_celdas,pct_detecciones,tasa_por_1000_pasadas
0-5 m,220,1222.0,86788,9.239815203695926,5.640433879529195,14.08028759736369
5-10 m,210,1213.0,84263,8.81982360352793,5.598892222478652,14.395404863344528
10-20 m,446,3190.0,183268,18.73162536749265,14.724209554581122,17.406202937774186
20-40 m,650,6959.0,266679,27.29945401091978,32.1209323794138,26.09504310425643
>40 m,855,9081.0,338086,35.909281814363716,41.91553196399723,26.860029696586075
