cell_id,dist_costa_km,dist_ruta_maritima_km
0_0,351.16953716238123,441.8790969228979
0_1,346.3582654935931,433.87799770876154
0_2,341.7750335355841,425.96411459732525
0_3,337.42913151225736,418.1423980425543
0_4,332.08535718604,410.41811592738264
0_5,326.0352845403585,401.8854459804987
0_6,320.18691077846825,393.3444516467451
0_7,314.5514839896567,384.8771132988753
0_8,309.1406474446887,376.48839850707515
0_9,303.9663923547247,368.1836792261885
0_10,299.0409968174675,359.9687667504558
0_11,294.376949734762,351.84994917308217
0_12,289.94685667358624,343.8340313023846
0_13,285.7883486627762,335.92837689532297
0_14,281.1731923930851,328.1409529478946
0_15,276.45395595070863,320.4803756229403
0_16,272.02501650878065,312.9559571917332
0_17,267.90076871369234,305.5777531077657
0_18,264.09548419959185,298.3566080114219
0_19,260.62313113356845,291.3041990754346
0_20,257.49717506199994,284.4330746389067
0_21,254.73036523317182,277.75668554266633
0_22,252.33451217198996,271.2894059794948
0_23,250.3202637854482,265.04654002976304
0_24,244.23607970643977,259.044309403843
0_25,237.65866483484714,253.29981731646436
0_26,231.15013411413784,247.83098296081585
0_27,223.49399951620626,242.65644084647573
0_28,215.30118208722587,237.7953994571148
0_29,207.27415407552311,233.26745443189216
0_30,199.43292960665622,229.09235293830227
0_31,191.80029237114405,225.24366695905712
0_32,184.40213911353462,221.7465889219842
0_33,177.26782391693214,218.65711796969885
0_34,170.43047647550677,215.99274076591885
0_35,163.92725318164207,213.769347880236
0_36,157.79946175343463,212.00080950483618
0_37,152.09247955369588,210.69857465680377
0_38,146.85536620092094,204.31055497420544
0_39,142.1400593507377,195.8691597658449
0_40,138.00004926236483,187.5890900380653
0_41,133.6412845013126,179.49266659936166
0_42,129.9158634064015,171.60587793318678
0_43,126.88265337743131,163.95897116893073
0_44,124.58357397946259,156.58708628779652
0_45,120.38323731732162,149.53089644493443
0_46,115.74083761667254,142.8371869010479
0_47,111.81580023213961,136.55926193867518
0_48,107.90316879958014,130.75701384917446
0_49,102.81288920612808,125.49642781183954
0_50,98.49345099377047,120.84825052598606
0_51,95.04998841690586,116.88555472723796
0_52,91.59122498127834,113.68003593617874
0_53,86.94178352113504,107.54717556226095
0_54,83.25812097829221,100.29209652733395
0_55,80.67262687867469,93.56157317975529
0_56,75.73958041420741,87.47675292496467
0_57,70.36470737535704,82.1811710090969
0_58,65.92772675951436,77.83606439287072
0_59,58.337892109443395,74.6076650629302
0_60,48.66791698280605,72.64498866242988
0_61,39.20745788229085,70.74786826346548
0_62,30.154310948058306,69.01861371513436
0_63,22.016726681837554,68.63146796785148
0_64,16.235241173486905,69.34555540147754
0_65,15.67864168524721,71.4876024173967
0_66,19.692140071905946,74.9352337232679
0_67,26.603452553957727,79.51879664631679
0_68,33.89366893348111,85.05482754372447
0_69,41.14135967690141,91.37034710668648
0_70,41.87594747914089,98.31523789081673
0_71,39.17002738896184,105.76557919039548
0_72,38.015951764821764,113.62197223163251
0_73,37.420340556231295,121.80585990061947
0_74,39.15900587275171,130.255516314086
0_75,43.241649790812104,138.92244463098928
0_76,49.08682546567832,147.7684091496227
0_77,56.1467108347878,156.76309462468708
1_0,342.09387821614604,435.6538475442567
1_1,337.16085721819695,427.54273575222646
1_2,332.45864607044933,419.5159075403169
1_3,327.99716970597495,411.5782927249466
1_4,323.7863775528017,403.7351517675747
1_5,317.69294920774684,395.9920966908109
1_6,311.69570548205905,387.84903223179515
1_7,305.9115966130426,379.26519155339366
1_8,300.35293391986505,370.75577454758155
1_9,295.03245799904255,362.3260228985197
1_10,289.96327791997703,353.98162606256744
1_11,285.15879300481896,345.7287622425099
1_12,280.6194762079524,337.57414256207915
1_13,276.3287476411312,329.52505842104375
1_14,272.1608698138708,321.5894318990686
1_15,267.2906471296611,313.7758689230711
1_16,262.7154308074746,306.09371470779865
1_17,258.4508852161242,298.55311071084094
1_18,254.51262417972617,291.165051998585
1_19,250.9160085184043,283.9414434858087
1_20,247.6759188875925,276.8951529771726
1_21,244.80650845912598,270.0400582963743
1_22,242.3209421294883,263.39108503818164
1_23,240.23113102628238,256.96423063295185
1_24,236.6604875805911,250.77656950509473
1_25,229.8741487935776,244.8462331966205
1_26,223.33542029179355,239.1923585111491
1_27,216.8304466481466,233.83499615345565
1_28,209.38292301838396,228.7949721826686
1_29,201.1267055727065,224.09369509359522
1_30,193.0429851018653,219.7529027424349
1_31,185.15435072322197,215.7830274509808
1_32,177.4868110401292,212.13870084022574
1_33,170.07026635525608,208.91589045526857
1_34,162.93898761684272,206.13436327797262
1_35,156.1320611435022,203.8121826881651
1_36,149.69373345572458,201.96518916067413
