Estrato,TasaAntes,TasaDespues,Ratio
Trafico alto,20.153968428930284,21.92368806620029,1.0878099836025168
Trafico bajo o nulo,0.32919450577810916,0.5202054655838917,1.5802373868734367
Aguas < 10 m,13.341775586811993,15.083467502754003,1.1305442371301484
Aguas >= 10 m,23.309449557317368,25.275041911148367,1.0843259875784563
