precision,recall
0.0838497150997151,1.0
0.14068850107578293,0.9997876406880442
0.15114931427467646,0.9970269696326184
0.15423572744014732,0.9959651730728393
0.15424079981583189,0.9959651730728393
0.1542458725251595,0.9959651730728393
0.15421805624074988,0.9957528137608834
0.15422312853571898,0.9957528137608834
0.1567486201705971,0.9951157358250159
0.16149906567928576,0.9910809088978552
0.16151024363233665,0.9910809088978552
0.16241517313380893,0.9910809088978552
0.16962560606612956,0.9881078785304735
0.17040375174030922,0.9876831599065619
0.17040999523687392,0.9876831599065619
0.1704162391909717,0.9876831599065619
0.17339702918563857,0.9866213633467827
0.18500440105625351,0.9819494584837545
0.1933344526527871,0.9781269908685496
0.20260223048327136,0.9721809301337864
0.2268386834620073,0.9483966871947335
0.22685020571951034,0.9483966871947335
0.2268617291476176,0.9483966871947335
0.2268732537465075,0.9483966871947335
0.22688477951635846,0.9483966871947335
0.22689630645734898,0.9483966871947335
0.22838874680306906,0.9481843278827776
0.2284004296894982,0.9481843278827776
0.2284121137712298,0.9481843278827776
0.23389651531151004,0.9407517519643236
0.23390886530439833,0.9407517519643236
0.23668987680771292,0.9384157995328095
0.23670255503776313,0.9384157995328095
0.23671523462609814,0.9384157995328095
0.2367279155729362,0.9384157995328095
0.23674059787849566,0.9384157995328095
0.23688019297775395,0.9384157995328095
0.2369055915938455,0.9384157995328095
0.23691829294445635,0.9384157995328095
0.2369436997319035,0.9384157995328095
0.25408218194868115,0.9021023571883627
0.2540973800693863,0.9021023571883627
0.25405276066279836,0.9018899978764069
0.25505902192242835,0.899341686132937
0.25653365823941515,0.894245062645997
0.2988383507853403,0.7757485665746443
0.308506851752981,0.7362497345508601
0.30853430630951323,0.7362497345508601
0.31962338949454905,0.6848587810575494
0.31965506987808506,0.6848587810575494
0.3196867565424266,0.6848587810575494
0.3197501487209994,0.6848587810575494
0.31978185423896877,0.6848587810575494
0.3198452841416245,0.6848587810575494
0.3198770085300536,0.6848587810575494
0.33530549550574584,0.6258228923338288
0.3353436504324078,0.6258228923338288
0.34038950042337,0.5975791038437035
0.3404306798935398,0.5975791038437035
0.34110787172011664,0.5963049479719685
0.3410278216498603,0.5960925886600127
0.34094775212636697,0.595880229348057
0.34098918459108035,0.595880229348057
0.3419080919080919,0.5814397961350605
0.34195079305607595,0.5814397961350605
0.3419935048713465,0.5814397961350605
0.3647265749920051,0.48439159057124653
0.3647849032464417,0.48439159057124653
0.38115996967399546,0.4270545763431726
0.38123222748815166,0.4270545763431726
0.3813045127038301,0.4270545763431726
0.38137682533662054,0.4270545763431726
0.3813591495823842,0.426629857719261
0.38143155496487563,0.426629857719261
0.38131409039118874,0.42641749840730514
0.3813802332250048,0.4236568273518794
0.38126195028680687,0.4234444680399235
0.3985067662155856,0.36270970482055637
0.4165477888730385,0.3100445954555107
0.4163812785388128,0.3098322361435549
0.42488716956802064,0.27988957315778296
0.4544578313253012,0.200254831174347
0.46474358974358976,0.18475260140157146
0.46957964601769914,0.18029305585049904
0.4698395130049806,0.18029305585049904
0.4740024183796856,0.16648970057337015
0.47368421052631576,0.1662773412614143
0.47397094430992737,0.1662773412614143
0.47365233192004846,0.16606498194945848
0.47393939393939394,0.16606498194945848
0.4736203759854457,0.16585262263750267
0.5266015200868621,0.10299426629857719
0.5287356321839081,0.09768528349968146
0.5281933256616801,0.09747292418772563
0.5288018433179723,0.09747292418772563
0.5511111111111111,0.07899766404756849
0.5519287833827893,0.07899766404756849
0.5658119658119658,0.07029093225737948
0.5667808219178082,0.07029093225737948
0.5660377358490566,0.07007857294542366
0.5670103092783505,0.07007857294542366
0.5662650602409639,0.06986621363346783
0.5894206549118388,0.04969207899766405
0.5883838383838383,0.04947971968570822
0.5945945945945946,0.03737523890422595
0.6045627376425855,0.033765130600976856
0.6030534351145038,0.033552771289021024
0.6053639846743295,0.033552771289021024
0.6038461538461538,0.03334041197706519
