decil_tasa_previa,tasa_previa_media,peso_antes,peso_despues,cambio_peso_pct
D1,0.0,0.08309478279901854,0.07941550303378885,-4.427810797855713
D2,0.0,0.10793667707265375,0.107257483286646,-0.6292520804124568
D3,0.0,0.0976468453731756,0.09939341974927306,1.788664415550345
D4,0.0,0.10401643262795332,0.09635164257742464,-7.368826114181548
D5,0.0,0.08675439758550381,0.07799890648687607,-10.09227352423081
D6,0.0,0.10025674181248488,0.08171259066750455,-18.49666247848386
D7,0.0,0.10094431452959947,0.08913019551872642,-11.703600213570075
D8,0.007533260632534106,0.10717278738379661,0.12278235183429725,14.564858143141524
D9,0.019310985745347793,0.10667600709603843,0.1232270353368056,15.51523036090634
D10,0.04623364791065716,0.1055010137197756,0.12273087150865757,16.331461832818682
