cell_id,Latitud,Longitud,grupo,exceso,tasa_antes,tasa_despues,ais_previo,DistanciaCostaKm,ProfundidadM
12_58,28.77027,48.76388,Top 10 % del incremento,17.244343891402714,0.1402714932126696,0.224390243902439,504.76666666666665,36.579574821620376,29.0
84_39,27.05856,56.04383,Top 10 % del incremento,17.070484581497798,0.0044052863436123,0.0853080568720379,2253.733333333333,3.6324833875737,8.0
25_59,28.86036,50.07832,Top 10 % del incremento,15.261744966442954,0.0201342281879194,0.1323529411764706,88.76666666666667,45.16391776257811,47.0
66_13,24.71622,54.22385,Top 10 % del incremento,15.082758620689654,0.0068965517241379,0.0611510791366906,3291.633333333333,27.227847220543115,20.0
29_32,26.42793,50.48276,Top 10 % del incremento,15.027027027027025,0.1891891891891892,0.2510288065843621,1084.8,20.434389922975523,2.0
30_38,26.96847,50.58387,Top 10 % del incremento,14.792792792792794,0.0495495495495495,0.1213592233009708,1473.1666666666667,54.30860973936339,36.0
88_23,25.61712,56.44828,Top 10 % del incremento,13.411504424778762,0.0309734513274336,0.0857142857142857,74.23333333333333,10.411428347375445,76.0
28_49,27.95946,50.38165,Top 10 % del incremento,12.833333333333336,0.1666666666666666,0.2292682926829268,154.36666666666667,89.62443171309887,43.0
14_62,29.13063,48.9661,Top 10 % del incremento,12.494949494949497,0.0235690235690235,0.0688405797101449,308.6,62.65912178513871,25.0
82_30,26.24775,55.84161,Top 10 % del incremento,12.493392070484582,0.0308370044052863,0.0900473933649289,816.2666666666667,29.4670680519568,88.0
86_36,26.78829,56.24606,Top 10 % del incremento,12.264900662251655,0.0264900662251655,0.1134751773049645,684.9,9.13734906724888,35.0
51_37,26.87838,52.70719,Top 10 % del incremento,11.910798122065728,0.0375586854460093,0.0867768595041322,593.7,38.49337877480277,63.0
28_62,29.13063,50.38165,Top 10 % del incremento,11.64864864864865,0.054054054054054,0.1397058823529411,120.8,10.255313675828155,32.0
13_52,28.22973,48.86499,Top 10 % del incremento,11.23076923076923,0.0723981900452488,0.1274509803921568,2552.5333333333333,24.040377571195865,14.0
56_19,25.25676,53.21274,Top 10 % del incremento,11.201438848920864,0.1007194244604316,0.1824817518248175,3447.0,42.7535177027998,18.0
40_43,27.41892,51.59497,Top 10 % del incremento,11.133928571428571,0.0089285714285714,0.062200956937799,370.3333333333333,46.588033727680624,31.0
12_51,28.13964,48.76388,Top 10 % del incremento,11.0580204778157,0.0170648464163822,0.0649350649350649,4954.633333333333,13.02199929826138,6.0
23_56,28.59009,49.8761,Top 10 % del incremento,11.027149321266968,0.0361990950226244,0.103030303030303,200.33333333333334,81.22380529728329,49.0
85_36,26.78829,56.14495,Top 10 % del incremento,11.0,0.0,0.0780141843971631,18.466666666666665,4.9230391697802185,56.0
15_55,28.5,49.06721,Top 10 % del incremento,10.544715447154472,0.008130081300813,0.043046357615894,309.93333333333334,53.48013891777662,28.0
88_19,25.25676,56.44828,Top 10 % del incremento,10.451327433628318,0.0265486725663716,0.0765550239234449,20173.233333333334,7.276615303876027,69.0
28_48,27.86937,50.38165,Top 10 % del incremento,10.42857142857143,0.0714285714285714,0.1163793103448275,907.5333333333333,92.2399705401796,45.0
17_64,29.31081,49.26943,Top 10 % del incremento,10.242152466367711,0.0134529147982062,0.0634146341463414,2359.8,83.45775490915709,30.0
49_31,26.33784,52.50497,Top 10 % del incremento,10.186915887850468,0.0233644859813084,0.0728155339805825,326.8,85.67261932781967,64.0
83_38,26.96847,55.94272,Top 10 % del incremento,10.140969162995594,0.0088105726872246,0.0568720379146919,36.8,4.613273671337372,11.0
82_27,25.97748,55.84161,Top 10 % del incremento,10.127753303964758,0.0484581497797356,0.0897959183673469,1699.6333333333334,18.367095133046504,44.0
63_19,25.25676,53.92051,Top 10 % del incremento,9.865116279069769,0.3581395348837209,0.4057971014492754,89.86666666666666,28.102565102104126,24.0
42_47,27.77928,51.7972,Top 10 % del incremento,9.822222222222225,0.0088888888888888,0.0489795918367346,48.833333333333336,6.352641039718622,10.0
88_26,25.88739,56.44828,Top 10 % del incremento,9.475862068965515,0.0103448275862068,0.0491803278688524,212.43333333333334,4.386591193763182,44.0
15_63,29.22072,49.06721,Top 10 % del incremento,9.353535353535351,0.0168350168350168,0.0507246376811594,647.8333333333334,68.16648878360039,27.0
78_23,25.61712,55.43717,Top 10 % del incremento,9.276315789473683,0.0394736842105263,0.1034482758620689,1859.1,11.6015093331152,22.0
41_29,26.15766,51.69608,Top 10 % del incremento,9.213333333333331,0.0133333333333333,0.0574162679425837,477.46666666666664,29.65643388027626,22.0
85_39,27.05856,56.14495,Top 10 % del incremento,9.158940397350992,0.0264900662251655,0.0896551724137931,2683.866666666667,6.689768643210739,12.0
76_21,25.43694,55.23495,Top 10 % del incremento,9.157894736842106,0.1052631578947368,0.1702127659574468,10840.6,15.743026276759904,23.0
86_37,26.87838,56.24606,Top 10 % del incremento,9.132450331125828,0.0132450331125827,0.0780141843971631,133.4,6.253389676877852,24.0
22_63,29.22072,49.77499,Top 10 % del incremento,9.087248322147651,0.0067114093959731,0.0735294117647058,83.6,49.95999601960281,38.0
22_62,29.13063,49.77499,Top 10 % del incremento,9.08108108108108,0.0067567567567567,0.0735294117647058,137.8,52.02710257855201,40.0
65_9,24.35586,54.12274,Top 10 % del incremento,8.685185185185185,0.0046296296296296,0.0352112676056338,71.5,3.519905367027236,9.0
74_23,25.61712,55.03273,Top 10 % del incremento,8.651315789473685,0.0592105263157894,0.1205673758865248,2907.1666666666665,26.315967415825,34.0
25_60,28.95045,50.07832,Top 10 % del incremento,8.64864864864865,0.054054054054054,0.1176470588235294,106.4,36.92863129558249,43.0
19_61,29.04054,49.47165,Top 10 % del incremento,8.614349775784753,0.0896860986547085,0.1317073170731707,234.96666666666667,83.38328550357677,39.0
37_50,28.04955,51.29164,Top 10 % del incremento,8.602678571428571,0.0401785714285714,0.0813397129186602,23.466666666666665,4.6863491321032695,1.0
13_57,28.68018,48.86499,Top 10 % del incremento,8.57918552036199,0.0361990950226244,0.0780487804878048,62.56666666666667,41.68225092566474,32.0
15_56,28.59009,49.06721,Top 10 % del incremento,8.567567567567567,0.027027027027027,0.0544871794871794,76.56666666666666,56.27184139705732,35.0
33_58,28.77027,50.8872,Top 10 % del incremento,8.4,0.0406779661016949,0.0762711864406779,32.833333333333336,6.408632251954263,7.0
21_41,27.23874,49.67388,Top 10 % del incremento,8.36888888888889,0.0622222222222222,0.1034482758620689,10946.9,8.111141765727023,22.0
21_63,29.22072,49.67388,Top 10 % del incremento,8.348993288590604,0.0268456375838926,0.088235294117647,100.4,59.79783601039625,39.0
27_62,29.13063,50.28054,Top 10 % del incremento,8.243243243243242,0.0202702702702702,0.0808823529411764,116.13333333333334,9.263658658895892,40.0
55_12,24.62613,53.11163,Top 10 % del incremento,8.230215827338128,0.1151079136690647,0.1751824817518248,14.966666666666667,25.43575172031569,3.0
71_25,25.7973,54.7294,Top 10 % del incremento,8.223684210526315,0.0131578947368421,0.0521327014218009,216.5,21.0048169163478,56.0
45_8,24.26577,52.10053,Top 10 % del incremento,8.151098901098901,0.0027472527472527,0.029126213592233,0.4,7.967204956184516,6.0
68_29,26.15766,54.42607,Top 10 % del incremento,8.110599078341014,0.0184331797235023,0.0568720379146919,402.6333333333333,13.38074354563796,47.0
46_34,26.60811,52.20164,Top 10 % del incremento,8.098591549295774,0.0140845070422535,0.0533980582524271,673.8,91.7708819357696,56.0
24_42,27.32883,49.97721,Top 10 % del incremento,8.094594594594595,0.0067567567567567,0.0671641791044776,1981.7666666666667,28.735418869087333,53.0
28_64,29.31081,50.38165,Top 10 % del incremento,8.087248322147651,0.0067114093959731,0.0661764705882353,354.56666666666666,7.401646920179982,34.0
77_32,26.42793,55.33606,Top 10 % del incremento,8.072368421052632,0.006578947368421,0.0638297872340425,97.96666666666667,13.266549444528945,5.0
59_33,26.51802,53.51607,Top 10 % del incremento,8.050925925925926,0.0046296296296296,0.0439024390243902,316.1333333333333,19.081127530634664,87.0
67_34,26.60811,54.32496,Top 10 % del incremento,8.041666666666666,0.0046296296296296,0.0434782608695652,34.63333333333333,5.271749398392778,36.0
69_20,25.34685,54.52718,Top 10 % del incremento,8.041666666666666,0.0046296296296296,0.0434782608695652,528.4666666666667,31.95244412912043,25.0
49_42,27.32883,52.50497,Top 10 % del incremento,8.028169014084508,0.0046948356807511,0.0434782608695652,121.63333333333334,8.926797363029612,73.0
82_38,26.96847,55.84161,Top 10 % del incremento,8.0,0.0,0.0379146919431279,3462.3333333333335,4.422856582553684,3.0
44_14,24.80631,51.99942,Top 10 % del incremento,7.570934256055363,0.0380622837370242,0.0656934306569343,73.76666666666667,35.300743724803766,2.0
25_56,28.59009,50.07832,Top 10 % del incremento,7.439189189189189,0.0337837837837837,0.0888888888888888,210.73333333333332,72.6390782517476,53.0
70_27,25.97748,54.62829,Top 10 % del incremento,7.375,0.0231481481481481,0.0534979423868312,57.666666666666664,9.948180556939947,72.0
19_59,28.86036,49.47165,Top 10 % del incremento,7.322869955156951,0.0179372197309417,0.0536585365853658,205.9,90.85220339432756,47.0
56_21,25.43694,53.21274,Top 10 % del incremento,7.287769784172662,0.0215827338129496,0.063953488372093,106.6,62.04219482635191,21.0
64_12,24.62613,54.02163,Top 10 % del incremento,7.284931506849315,0.0054794520547945,0.0287539936102236,417.76666666666665,35.17110708472576,14.0
67_30,26.24775,54.32496,Top 10 % del incremento,7.25,0.0277777777777777,0.0628019323671497,402.43333333333334,16.83071931039543,88.0
24_60,28.95045,49.97721,Top 10 % del incremento,7.243243243243243,0.0202702702702702,0.0735294117647058,97.4,43.712200800767455,41.0
71_31,26.33784,54.7294,Top 10 % del incremento,7.230414746543778,0.0230414746543778,0.0579710144927536,604.0333333333333,18.398741179179822,57.0
48_44,27.50901,52.40386,Top 10 % del incremento,7.211267605633804,0.0422535211267605,0.0769230769230769,381.1,14.068650722285188,56.0
24_62,29.13063,49.97721,Top 10 % del incremento,7.162162162162162,0.0135135135135135,0.0661764705882353,86.9,33.43017614733335,39.0
72_30,26.24775,54.83051,Top 10 % del incremento,7.144736842105264,0.0131578947368421,0.0638297872340425,316.3333333333333,27.77288203539824,74.0
24_59,28.86036,49.97721,Top 10 % del incremento,7.087248322147651,0.0067114093959731,0.0588235294117647,165.06666666666666,50.9887480140672,43.0
59_30,26.24775,53.51607,Top 10 % del incremento,7.071428571428571,0.0142857142857142,0.0666666666666666,235.8,47.01245297496775,78.0
55_35,26.6982,53.11163,Top 10 % del incremento,7.071428571428571,0.0142857142857142,0.0666666666666666,58.233333333333334,15.126684904161795,79.0
24_58,28.77027,49.97721,Top 10 % del incremento,7.0,0.0,0.0514705882352941,242.33333333333334,58.97421410409694,44.0
48_19,25.25676,52.40386,Top 10 % del incremento,7.0,0.0,0.0289256198347107,508.26666666666665,77.68147474963446,20.0
42_26,25.88739,51.7972,Top 10 % del incremento,6.993265993265993,0.0168350168350168,0.0462184873949579,5445.166666666667,21.96827730761664,20.0
40_30,26.24775,51.59497,Top 10 % del incremento,6.90625,0.0044642857142857,0.0326530612244898,319.1666666666667,29.523313853400467,24.0
18_51,28.13964,49.37054,Top 10 % del incremento,6.732142857142857,0.0223214285714285,0.0508474576271186,685.4,59.15371803537516,31.0
22_66,29.49099,49.77499,Top 10 % del incremento,6.719457013574661,0.0135746606334841,0.0535714285714285,43.56666666666667,55.43232712804609,26.0
52_38,26.96847,52.8083,Top 10 % del incremento,6.535211267605634,0.0140845070422535,0.040650406504065,84.26666666666667,24.620216979493456,75.0
49_39,27.05856,52.50497,Top 10 % del incremento,6.470383275261324,0.0104529616724738,0.0371900826446281,179.23333333333332,33.764663794358526,77.0
13_61,29.04054,48.86499,Top 10 % del incremento,6.469525959367946,0.0045146726862302,0.023598820058997,639.1333333333333,57.0051415900348,26.0
46_8,24.26577,52.20164,Top 10 % del incremento,6.453296703296703,0.0082417582417582,0.029126213592233,1.6333333333333333,18.081697068157187,27.0
51_38,26.96847,52.70719,Top 10 % del incremento,6.450704225352114,0.0469483568075117,0.073170731707317,169.13333333333333,30.77539057233025,70.0
55_22,25.52703,53.11163,Top 10 % del incremento,6.431654676258994,0.1438848920863309,0.1911764705882352,636.2,70.46887437797443,28.0
26_58,28.77027,50.17943,Top 10 % del incremento,6.324324324324325,0.027027027027027,0.0735294117647058,119.56666666666666,50.52552165380206,46.0
23_46,27.68919,49.8761,Top 10 % del incremento,6.302013422818792,0.0201342281879194,0.0671641791044776,1544.8333333333333,45.40024084199191,15.0
65_26,25.88739,54.12274,Top 10 % del incremento,6.299727520435967,0.0136239782016348,0.0318840579710144,80.2,38.91127328540775,71.0
88_24,25.70721,56.44828,Top 10 % del incremento,6.283185840707965,0.0398230088495575,0.0655737704918032,5.033333333333333,13.567320149828484,53.0
19_50,28.04955,49.47165,Top 10 % del incremento,6.282511210762332,0.0134529147982062,0.0445544554455445,635.1,60.7911240311476,26.0
63_22,25.52703,53.92051,Top 10 % del incremento,6.246511627906977,0.027906976744186,0.0537190082644628,210.06666666666666,42.46589066109794,26.0
33_51,28.13964,50.8872,Top 10 % del incremento,6.22972972972973,0.0135135135135135,0.0439024390243902,224.66666666666666,37.30501004753296,48.0
72_27,25.97748,54.83051,Top 10 % del incremento,6.217105263157895,0.0197368421052631,0.0638297872340425,433.73333333333335,21.063248171947272,72.0
80_29,26.15766,55.63939,Top 10 % del incremento,6.211453744493392,0.013215859030837,0.0426540284360189,98.96666666666667,44.92965432881242,82.0
