mes,conf_mediana,area_mediana,n
2023-01,0.8403421640396118,2.0641162556394463,135
2023-02,0.7820603847503662,1.5812451580187747,201
2023-03,0.8142799139022827,2.186142314008424,468
2023-04,0.7922924757003784,1.9946174442559603,419
2023-05,0.7999886274337769,2.140652745021373,486
2023-06,0.8363319933414459,1.8570491351461411,412
2023-07,0.816399335861206,1.9839880648292825,477
2023-08,0.7952088713645935,2.3471975074296645,445
2023-09,0.8140409886837006,1.6949223213710003,344
2023-10,0.792973667383194,1.753553546142665,426
2023-11,0.8063485622406006,1.8804996418685247,235
2023-12,0.7996771931648254,1.7541172403468106,318
2024-01,0.8243414461612701,2.1611225818900044,202
2024-02,0.8173906803131104,1.437855275575887,211
2024-03,0.8159493803977966,1.782879436357747,241
2024-04,0.8043150901794434,1.899452450638721,421
2024-05,0.7972187399864197,2.06715990111017,466
2024-06,0.8130439519882202,2.8871243547357768,510
2024-07,0.835382491350174,2.001125587326774,470
2024-08,0.8171626031398773,1.8976082252867865,570
2024-09,0.8257164359092712,1.7761889107517765,416
2024-10,0.8041001260280609,1.6360930900902735,346
2024-11,0.7997326850891113,1.8205915433155424,267
2024-12,0.8119029998779297,2.0897114852399747,246
2025-01,0.7613883018493652,1.7815593887937675,260
2025-02,0.8221616744995117,1.4965969298360182,176
2025-03,0.8084299862384796,2.132327240350623,332
2025-04,0.8037847280502319,2.172099307822611,390
2025-05,0.7955601811408997,2.087839327348892,417
2025-06,0.8002849817276001,1.7169050233830143,418
2025-07,0.8183940649032593,2.1681908124041125,685
2025-08,0.83632493019104,1.832246388409855,986
2025-09,0.8138529658317566,1.9012727237490896,921
2025-10,0.8129602074623108,1.7426541424801716,743
2025-11,0.7756716310977936,1.7198112603570188,628
2025-12,0.7966760993003845,2.2996184795808285,593
2026-01,0.7824925780296326,1.6636290399611395,441
2026-02,0.7863311469554901,1.925285269534999,634
2026-03,0.8226391673088074,2.2081289957408927,540
2026-04,0.8218896687030792,2.426243810071073,692
2026-05,0.8258541822433472,1.7446731242633748,1028
2026-06,0.8286439180374146,2.2797990955168483,1140
2026-07,0.830528199672699,2.1580678375829225,1141
2026-08,0.829020619392395,2.120704889616028,935
