precision,recall
0.0838497150997151,1.0
0.15349231722833,0.9991505627521767
0.15822827479269197,0.9968146103206625
0.16085091782466976,0.9955404544489276
0.1608564370024705,0.9955404544489276
0.16086195655903648,0.9955404544489276
0.16270185796145165,0.99490337651306
0.16561050731051086,0.9934168613293692
0.1703744292237443,0.9904438309619877
0.17038065317454518,0.9904438309619877
0.17143487534014856,0.990019112338076
0.17144117971536793,0.990019112338076
0.17451876263950267,0.9895943937141644
0.17452529867795213,0.9895943937141644
0.18077312758163822,0.9851348481630919
0.1893389141942632,0.9798258653641962
0.18934668417596848,0.9798258653641962
0.18935445479542004,0.9798258653641962
0.19799423234192742,0.9768528349968146
0.20672337345036648,0.9702696963261839
0.20865384615384616,0.967721384582714
0.20866340033884334,0.967721384582714
0.21032902957101207,0.965173072839244
0.21096399535423926,0.9643236355914206
0.2356318783561061,0.9411764705882353
0.23564440663547426,0.9411764705882353
0.23560376455575052,0.9409641112762794
0.2381132075471698,0.9379910809088978
0.23812604453070246,0.9379910809088978
0.23813888289842572,0.9379910809088978
0.23815172265056345,0.9379910809088978
0.23816456378733958,0.9379910809088978
0.24957010202911842,0.9246124442556806
0.2618076162215628,0.899341686132937
0.2683586704457614,0.8846888936079847
0.27493371405262085,0.8587810575493735
0.2749524068534131,0.8587810575493735
0.2749711021962331,0.8587810575493735
0.27498980008159934,0.8587810575493735
0.2750085005100306,0.8587810575493735
0.2750272034820457,0.8587810575493735
0.2749778956675508,0.8585686982374177
0.29786887912802995,0.7776598003822468
0.29789310989994305,0.7776598003822468
0.29791734461438335,0.7776598003822468
0.30689412592332044,0.7411339987258442
0.3068331721044763,0.7409216394138883
0.3078436633574814,0.7309407517519643
0.30778175313059036,0.7307283924400085
0.3078092852670185,0.7307283924400085
0.3077473608874575,0.7305160331280527
0.3076854254272166,0.7303036738160968
0.30771295633500356,0.7303036738160968
0.30774049217002236,0.7303036738160968
0.30767853946661894,0.730091314504141
0.3091222343126587,0.7239328944574219
0.3386752136752137,0.6058611170099809
0.3388017118402282,0.6052240390741134
0.35097532989099256,0.5196432363559143
0.36209427499592234,0.47143767254194097
0.3621533442088091,0.47143767254194097
0.3622124326970142,0.47143767254194097
0.36210835509138384,0.4712253132299851
0.3620042435123225,0.47101295391802933
0.3620633365981064,0.47101295391802933
0.36212244897959184,0.47101295391802933
0.3620182887001959,0.4708005946060735
0.36191409439817085,0.47058823529411764
0.3619732113688337,0.47058823529411764
0.39893048128342246,0.31684009343809727
0.4022796775090353,0.30728392440008495
0.4023915461624027,0.30728392440008495
0.40250347705146033,0.30728392440008495
0.402615470228158,0.30728392440008495
0.4027275257445032,0.30728392440008495
0.40283964365256125,0.30728392440008495
0.43040362127499054,0.2423019749416012
0.43056603773584906,0.2423019749416012
0.42922899884925203,0.23763007007857295
0.42900997697620874,0.2374177107666171
0.4291746641074856,0.2374177107666171
0.47305009511731133,0.15842004671904863
0.49053857350800584,0.14313017625822894
0.4901675163874727,0.1429178169462731
0.491562729273661,0.1422807390104056
0.4919236417033774,0.1422807390104056
0.4922850844966936,0.1422807390104056
0.5236625514403292,0.10809088978551709
0.5242018537590113,0.10809088978551709
0.5776805251641138,0.056062858356338924
0.5789473684210527,0.056062858356338924
0.578021978021978,0.0558504990443831
0.5833333333333334,0.05202803142917817
0.5823389021479713,0.05181567211722234
0.6088328075709779,0.04098534720747505
0.6125,0.010405606285835634
0.64,0.010193246973879804
0.5952380952380952,0.005308982798895732
0.5853658536585366,0.005096623486939902
0.5,0.0012741558717349756
0.45454545454545453,0.0010617965597791463
0.5,0.0010617965597791463
0.5555555555555556,0.0010617965597791463
0.625,0.0010617965597791463
0.5714285714285714,0.0008494372478233171
0.6666666666666666,0.0008494372478233171
0.8,0.0008494372478233171
