CeldaID,Longitud,Latitud,DistanciaCostaKm,DistanciaRutaKm,ProfundidadM,FranjaProfundidad,EsMar,AguasSomeras
0_0,47.55056,23.54505,351.16953716238123,441.8790969228979,,,False,False
0_1,47.55056,23.63514,346.3582654935931,433.8779977087616,,,False,False
0_2,47.55056,23.72523,341.7750335355841,425.9641145973253,,,False,False
0_3,47.55056,23.81532,337.42913151225736,418.1423980425543,,,False,False
0_4,47.55056,23.90541,332.08535718604,410.4181159273826,,,False,False
0_5,47.55056,23.9955,326.0352845403585,401.8854459804987,,,False,False
0_6,47.55056,24.08559,320.18691077846825,393.3444516467451,,,False,False
0_7,47.55056,24.17568,314.5514839896567,384.8771132988753,,,False,False
0_8,47.55056,24.26577,309.1406474446887,376.4883985070752,,,False,False
0_9,47.55056,24.35586,303.9663923547247,368.1836792261885,,,False,False
0_10,47.55056,24.44595,299.0409968174675,359.9687667504558,,,False,False
0_11,47.55056,24.53604,294.376949734762,351.84994917308217,,,False,False
0_12,47.55056,24.62613,289.94685667358624,343.8340313023846,,,False,False
0_13,47.55056,24.71622,285.7883486627762,335.92837689532297,,,False,False
0_14,47.55056,24.80631,281.1731923930851,328.1409529478946,,,False,False
0_15,47.55056,24.8964,276.45395595070863,320.4803756229403,,,False,False
0_16,47.55056,24.98649,272.02501650878065,312.9559571917332,,,False,False
0_17,47.55056,25.07658,267.90076871369234,305.5777531077657,,,False,False
0_18,47.55056,25.16667,264.09548419959185,298.3566080114219,,,False,False
0_19,47.55056,25.25676,260.62313113356845,291.3041990754346,,,False,False
0_20,47.55056,25.34685,257.49717506199994,284.4330746389067,,,False,False
0_21,47.55056,25.43694,254.73036523317185,277.75668554266633,,,False,False
0_22,47.55056,25.52703,252.33451217199,271.2894059794948,,,False,False
0_23,47.55056,25.61712,250.3202637854482,265.04654002976304,,,False,False
0_24,47.55056,25.70721,244.23607970643977,259.044309403843,,,False,False
0_25,47.55056,25.7973,237.65866483484717,253.2998173164644,,,False,False
0_26,47.55056,25.88739,231.15013411413784,247.83098296081585,,,False,False
0_27,47.55056,25.97748,223.49399951620623,242.65644084647573,,,False,False
0_28,47.55056,26.06757,215.30118208722587,237.7953994571148,,,False,False
0_29,47.55056,26.15766,207.27415407552311,233.26745443189216,,,False,False
0_30,47.55056,26.24775,199.43292960665624,229.09235293830227,,,False,False
0_31,47.55056,26.33784,191.80029237114405,225.24366695905712,,,False,False
0_32,47.55056,26.42793,184.40213911353464,221.7465889219842,,,False,False
0_33,47.55056,26.51802,177.26782391693214,218.65711796969885,,,False,False
0_34,47.55056,26.60811,170.43047647550677,215.99274076591885,,,False,False
0_35,47.55056,26.6982,163.92725318164207,213.769347880236,,,False,False
0_36,47.55056,26.78829,157.79946175343463,212.00080950483616,,,False,False
0_37,47.55056,26.87838,152.09247955369588,210.69857465680377,,,False,False
0_38,47.55056,26.96847,146.85536620092094,204.31055497420544,,,False,False
0_39,47.55056,27.05856,142.1400593507377,195.8691597658449,,,False,False
0_40,47.55056,27.14865,138.00004926236485,187.5890900380653,,,False,False
0_41,47.55056,27.23874,133.6412845013126,179.49266659936166,,,False,False
0_42,47.55056,27.32883,129.9158634064015,171.60587793318678,,,False,False
0_43,47.55056,27.41892,126.88265337743132,163.95897116893073,,,False,False
0_44,47.55056,27.50901,124.5835739794626,156.58708628779652,,,False,False
0_45,47.55056,27.5991,120.38323731732162,149.53089644493443,,,False,False
0_46,47.55056,27.68919,115.74083761667254,142.8371869010479,,,False,False
0_47,47.55056,27.77928,111.8158002321396,136.55926193867518,,,False,False
0_48,47.55056,27.86937,107.90316879958014,130.75701384917446,,,False,False
0_49,47.55056,27.95946,102.81288920612808,125.49642781183954,,,False,False
0_50,47.55056,28.04955,98.49345099377048,120.84825052598606,,,False,False
0_51,47.55056,28.13964,95.04998841690586,116.88555472723796,,,False,False
0_52,47.55056,28.22973,91.59122498127834,113.68003593617874,,,False,False
0_53,47.55056,28.31982,86.94178352113504,107.54717556226096,,,False,False
0_54,47.55056,28.40991,83.25812097829221,100.29209652733395,,,False,False
0_55,47.55056,28.5,80.67262687867469,93.56157317975529,,,False,False
0_56,47.55056,28.59009,75.73958041420741,87.47675292496467,,,False,False
0_57,47.55056,28.68018,70.36470737535704,82.1811710090969,,,False,False
0_58,47.55056,28.77027,65.92772675951436,77.83606439287072,,,False,False
0_59,47.55056,28.86036,58.3378921094434,74.6076650629302,,,False,False
0_60,47.55056,28.95045,48.66791698280605,72.64498866242988,,,False,False
0_61,47.55056,29.04054,39.20745788229085,70.74786826346548,,,False,False
0_62,47.55056,29.13063,30.154310948058303,69.01861371513436,,,False,False
0_63,47.55056,29.22072,22.016726681837557,68.63146796785148,,,False,False
0_64,47.55056,29.31081,16.235241173486905,69.34555540147754,,,False,False
0_65,47.55056,29.4009,15.67864168524721,71.4876024173967,,,False,False
0_66,47.55056,29.49099,19.692140071905943,74.9352337232679,,,False,False
0_67,47.55056,29.58108,26.603452553957727,79.51879664631679,,,False,False
0_68,47.55056,29.67117,33.89366893348111,85.05482754372447,,,False,False
0_69,47.55056,29.76126,41.14135967690141,91.37034710668648,,,False,False
0_70,47.55056,29.85135,41.87594747914089,98.31523789081672,,,False,False
0_71,47.55056,29.94144,39.17002738896184,105.76557919039548,,,False,False
0_72,47.55056,30.03153,38.01595176482176,113.62197223163253,,,False,False
0_73,47.55056,30.12162,37.420340556231295,121.80585990061948,,,False,False
0_74,47.55056,30.21171,39.15900587275171,130.255516314086,,,False,False
