,coef,se_clasico,se_cluster,p_clasico,p_cluster,inflacion_se
const,-5.497972035780775,0.012276315289902735,0.026029200774399873,0.0,0.0,2.120277962867969
wind_speed,0.38641297301576527,0.00910706651236771,0.020333896237862744,0.0,1.5987482474233377e-80,2.232760264817284
dist_costa_km,-0.32095999872533865,0.014600846574519764,0.0313016567906788,4.2548034560634726e-107,1.1381541596964209e-24,2.1438247865232665
log_ais_hours,0.6656421805911393,0.006973072562360248,0.02003673234332106,0.0,5.339590371071233e-242,2.8734438318449134
mes_sin,-0.32907380322196983,0.010715787739553707,0.014203944522861632,4.283145590323232e-207,9.624370103847295e-119,1.3255156660515561
mes_cos,-0.29798211354586657,0.00997156045450032,0.012593424337842548,3.2534569142697827e-196,8.940259270080343e-124,1.2629341611381335
anios_desde_2023,0.03751103579179292,0.006919391972389713,0.008980266516529146,5.921808897858345e-08,2.953121718537835e-05,1.2978404103081447
