slick_id,region,desfase,nubes,area,conf,nodata,profundidad_m
4984221,"[np.float64(50.40661782993914), 26.339840116913443, np.float64(50.5876934603459), 26.502002279075604]",4.72,0.12,11.73,0.9989,0.0,-2.057325639739087
3153144,"[np.float64(50.4014562989596), 26.35617286030139, np.float64(50.5825575869773), 26.51833502246355]",4.71,2.07,18.12,0.9984,0.0,-2.3149171270718245
5016309,"[np.float64(50.49104112844728), 28.6747643752196, np.float64(50.67601465515651), 28.83692653738176]",4.73,0.05,40.38,0.9994,0.0,-39.26406979601868
3611578,"[np.float64(50.36515962910147), 28.05410799102328, np.float64(50.54905085256112), 28.21627015318544]",4.71,0.07,26.45,0.9951,0.0,-56.15708101422386
3077920,"[np.float64(50.57649255446471), 27.612785776340385, np.float64(50.75963488293566), 27.774947938502546]",4.7,3.06,28.41,0.9974,0.0,-61.577247888723306
3116772,"[np.float64(52.5828194822752), 26.80002254427032, np.float64(52.764626492621446), 26.96218470643248]",4.68,0.0,13.08,0.9999,0.0,-66.76674999999999
