hitl_cls_name,count,mean,median,std
Vessel,1,0.9864249229431152,0.9864249229431152,
Natural,121,0.9105457333493824,0.9243019223213196,0.07164763468361016
"Vessel, recent",18,0.9079588254292806,0.9151014089584351,0.06963381476798447
"Vessel, old",122,0.8978892965394942,0.9119472801685333,0.08023658895472863
Anthropogenic,128,0.8740845299325883,0.8741523623466492,0.0786349920363843
"Vessel, coincident",57,0.8599828565329836,0.8599870800971985,0.0832752235384321
Ambiguous,105,0.8447225065458388,0.8459042310714722,0.08312254859400314
Infrastructure,225,0.8317176832093133,0.8246809244155884,0.08289350348016325
