,coef,rate_ratio,p_value
const,-5.631408632863754,0.003583523900829774,0.0
wind_speed,0.4310836774119752,1.5389243177734482,0.0
dist_costa_km,-0.431540146585455,0.649507986486877,1.896963214741335e-131
log_ais_hours,0.7403731002074699,2.0967176543688675,0.0
mes_sin,-0.3594993649359685,0.6980256947490151,6.107064949043197e-173
mes_cos,-0.31454520009520454,0.7301208576668816,5.272003620747254e-152
anios_desde_2023,0.03882721740836417,1.039590844930955,2.283656462208395e-06
alpha,2.301870080113641,9.992852426803916,0.0
