,coef,rate_ratio,p_value
const,-5.753747663965205,0.003170875126768752,0.0
wind_speed,0.2424469079640162,1.274363588809807,9.240220962427934e-122
dist_costa_km,-0.044042550401603466,0.956913239564128,0.03964249400361435
dist_ruta_maritima_km,-1.446340839359829,0.23543019076087202,0.0
mes_sin,-0.3136063154211381,0.7308066788534824,2.409745496240426e-139
mes_cos,-0.30280265739784046,0.7387448678210986,1.1174580278068963e-144
anios_desde_2023,0.023736049505396234,1.0240199916325408,0.0030710449838302406
alpha,2.3874634880627443,10.885846813838128,0.0
