precision,recall,threshold
0.0838497150997151,1.0,0.0
0.14218310498139913,0.9983011255043533,0.0013141738607812745
0.14218740548061218,0.9983011255043533,0.002976016949953391
0.14219170623998065,0.9983011255043533,0.004130243464233486
0.14219600725952813,0.9983011255043533,0.0043859649122807015
0.14355075119091243,0.9983011255043533,0.005232177894048398
0.151821599896279,0.9946910172011043,0.008836524300441826
0.15538047272364616,0.992567424081546,0.012674271229404309
0.16210665552770817,0.9889573157782969,0.013215747734720383
0.16211229853447975,0.9889573157782969,0.015313935681470138
0.1698037352435949,0.9866213633467827,0.016437556600971077
0.16980994152046783,0.9866213633467827,0.016534912710583494
0.16981614825103256,0.9866213633467827,0.01877674396726396
0.16982235543533883,0.9866213633467827,0.0195883178126257
0.1698285630734364,0.9866213633467827,0.019863968615358864
0.16983477116537504,0.9866213633467827,0.02074688796680498
0.1728790815565827,0.9849224888511361,0.020804156250893623
0.17288552577627017,0.9849224888511361,0.02096069868995633
0.17961694176269075,0.9798258653641962,0.024270463168987202
0.17962393428582552,0.9798258653641962,0.027253668763102725
0.18305435171563755,0.9777022722446379,0.027620491179223605
0.18306163021868788,0.9777022722446379,0.03189571399697293
0.1830689093005686,0.9777022722446379,0.03225806451612903
0.18332404236680735,0.9777022722446379,0.04560085836909871
0.20202923166316542,0.9598640900403482,0.04895152629353504
0.202038262113356,0.9598640900403482,0.04975124378109453
0.20539334031795198,0.9575281376088342,0.049989856467164556
0.2054026967930029,0.9575281376088342,0.05019753075196641
0.20536649810942553,0.9573157782968783,0.0504249798933111
0.205375854214123,0.9573157782968783,0.05058365758754864
0.20886781929726714,0.9543427479294967,0.05089058524173028
0.21569478608980852,0.9496708430664684,0.05439709882139619
0.23448905109489052,0.927797833935018,0.055865921787709494
0.23822577992214486,0.9227012104480782,0.07353065820114006
0.2382388419782871,0.9227012104480782,0.07407119623702699
0.23825190546690794,0.9227012104480782,0.07524271844660194
0.24800092710626956,0.9088978551709492,0.08069427581445048
0.24801529813988527,0.9088978551709492,0.08307342363705238
0.2480296708391284,0.9088978551709492,0.08308516386657788
0.2480440452042886,0.9088978551709492,0.08378167243609735
0.2480584212356555,0.9088978551709492,0.08852328977986465
0.2480727989335188,0.9088978551709492,0.09190824110431357
0.24808717829816831,0.9088978551709492,0.09526290570656465
0.24810155932989392,0.9088978551709492,0.09615606513339237
0.24811594202898551,0.9088978551709492,0.09803921568627451
0.25939872831656274,0.8923338288383945,0.1125
0.26201365829208695,0.8880866425992779,0.11317771499734558
0.26203007518796995,0.8880866425992779,0.1242568937707075
0.26204649414123693,0.8880866425992779,0.125
0.262381520306321,0.8876619239753664,0.1288951841359773
0.2816034359341446,0.8354215332342323,0.12925501980229478
0.2816235951034433,0.8354215332342323,0.13740458015267173
0.2844197603040047,0.8265024421320875,0.14285714285714285
0.28465709261430244,0.8250159269483966,0.15230084431522498
0.2846779511980655,0.8250159269483966,0.15333333333333332
0.28909774436090224,0.8165215544701635,0.15391299299487216
0.28911948266786974,0.8165215544701635,0.15509758106267574
0.28914122424424726,0.8165215544701635,0.15753938484621152
0.30965675057208236,0.7184115523465704,0.18098010388739452
0.30968509703405345,0.7184115523465704,0.19299728754111686
0.30971344868625833,0.7184115523465704,0.19813953488372094
0.3240381591361778,0.6564026332554682,0.2
0.3251867662753469,0.6470588235294118,0.20032051282051283
0.33329507632273614,0.6166914419197281,0.21352785145888595
0.33837194895304173,0.5799532809513697,0.21634615384615385
0.34076556257249646,0.5614780208112126,0.24974093264248698
0.3514650420655643,0.5145466128689743,0.26398568556815444
0.35151603075583926,0.5145466128689743,0.2691507106847709
0.3515670342426001,0.5145466128689743,0.2693310501227244
0.3516180525322885,0.5145466128689743,0.2701482914248871
0.3890197926484449,0.3506052240390741,0.272477250354846
0.3891114777280226,0.3506052240390741,0.2743247841643106
0.38896746817538896,0.3503928647271183,0.2755901619803383
0.3890591841546805,0.3503928647271183,0.2830438181762098
0.3891509433962264,0.3503928647271183,0.2830882352941177
0.41970443349753694,0.2713952006795498,0.2876840474256042
0.41984231274638634,0.2713952006795498,0.2953667953667954
