modelo,pr_auc,roc_auc,brier,brier_sin_calibrar,baseline_pr_auc,baseline_brier
Random Forest,0.36110051233393975,0.8928628408924466,0.0610737897082151,0.06204170372836752,0.0838497150997151,0.07681894037741172
XGBoost,0.36499000295852124,0.8924981554300362,0.061028355620054556,0.06165974959731102,0.0838497150997151,0.07681894037741172
