umbral,n,pct_antropogenico,pct_natural,pct_ambiguo
0.0,777,70.91377091377092,15.572715572715573,13.513513513513514
0.7,772,70.85492227979275,15.544041450777202,13.601036269430052
0.8,581,69.87951807228916,19.27710843373494,10.843373493975903
0.85,458,66.8122270742358,22.05240174672489,11.135371179039302
0.9,322,65.83850931677019,24.22360248447205,9.937888198757763
0.95,169,64.49704142011834,26.035502958579883,9.467455621301776
